verb	sentence	agent	theme	recipient	informativity	order	gameID	audio_file
toss	The cowboy tosses the banana to the clown, okay.	cowboy	banana	clown	high	PO	01HN6C87KF59S14B1W3XFECQKP	bed3acbd-eb9f-4052-9ed3-a0750b6ab966.mp4
show	The waitress shows the apple to the clown, okay.	waitress	apple	clown	control	PO	01HN6C87KF59S14B1W3XFECQKP	bed3acbd-eb9f-4052-9ed3-a0750b6ab966.mp4
offer	The artist offers the doctor the book, okay.	artist	book	doctor	low	DO	01HN6C87KF59S14B1W3XFECQKP	bed3acbd-eb9f-4052-9ed3-a0750b6ab966.mp4
sell	The chef sells the book to the doctor.	chef	book	doctor	low	PO	01HN6C87KF59S14B1W3XFECQKP	bed3acbd-eb9f-4052-9ed3-a0750b6ab966.mp4
throw	The cowboy throws the gun to the doctor.	cowboy	gun	doctor	high	PO	01HN6C87KF59S14B1W3XFECQKP	bed3acbd-eb9f-4052-9ed3-a0750b6ab966.mp4
give	The pirate gives the apple to the monk.	pirate	apple	monk	control	PO	01HN6C87KF59S14B1W3XFECQKP	bed3acbd-eb9f-4052-9ed3-a0750b6ab966.mp4
offer	The monk was offered a banana.	cowboy	banana	monk	high	DO	01HN6C8A9KRAEBTQP8P9G9JWXP	8a403aee-d642-4cc1-8d86-3d9e8dd01594.mp4
toss	The ball was tossed to the clown.	cowboy	ball	clown	low	PO	01HN6C8A9KRAEBTQP8P9G9JWXP	8a403aee-d642-4cc1-8d86-3d9e8dd01594.mp4
give	The pirate gave the monk an apple.	pirate	apple	monk	control	DO	01HN6C8A9KRAEBTQP8P9G9JWXP	8a403aee-d642-4cc1-8d86-3d9e8dd01594.mp4
offer	The artist offered the book to the doctor.	artist	book	doctor	low	PO	01HN6C8BGFFPXYNEXBJ7SXB5H1	{a8c22c05-bd2a-4913-9b13-9c6aeacbe155}.mp4
sell	The pirate sold the ball to the clown.	pirate	ball	clown	high	PO	01HN6C8BGFFPXYNEXBJ7SXB5H1	{a8c22c05-bd2a-4913-9b13-9c6aeacbe155}.mp4
show	The waitress showed the apple to the clown.	waitress	apple	clown	control	PO	01HN6C8BGFFPXYNEXBJ7SXB5H1	{a8c22c05-bd2a-4913-9b13-9c6aeacbe155}.mp4
give	The pirate gave the apple to the doctor.	pirate	apple	doctor	high	PO	01HN6C8BGFFPXYNEXBJ7SXB5H1	{a8c22c05-bd2a-4913-9b13-9c6aeacbe155}.mp4
throw	The cowboy threw the book at the boxer.	cowboy	book	boxer	low	PO	01HN6C8BGFFPXYNEXBJ7SXB5H1	{a8c22c05-bd2a-4913-9b13-9c6aeacbe155}.mp4
toss	The cowboy tossed the banana to the...	cowboy	banana	soldier	control	DO	01HN6C8BGFFPXYNEXBJ7SXB5H1	{a8c22c05-bd2a-4913-9b13-9c6aeacbe155}.mp4
show	to do the sentence, right? All right, so the waitress showed the apple to the	waitress	apple	clown	control	DO	01HN6C8BVXBN026JSVP2C73R5K	b02b171d-f31c-468a-a10f-0927d11e09e0.mp4
give	clown. Yay! The pirate smelled at the monk. The chef gave the ball to the monk.	chef	ball	monk	low	DO	01HN6C8BVXBN026JSVP2C73R5K	b02b171d-f31c-468a-a10f-0927d11e09e0.mp4
toss	Okay, good. The, I think it's, the cowboy tossed the banana. There you go. The	cowboy	banana	soldier	control	DO	01HN6C8BVXBN026JSVP2C73R5K	b02b171d-f31c-468a-a10f-0927d11e09e0.mp4
throw	waitress ran towards the soldier. The cowboy threw the book at the boxer. The	cowboy	book	boxer	low	PO	01HN6C8BVXBN026JSVP2C73R5K	b02b171d-f31c-468a-a10f-0927d11e09e0.mp4
sell	pirate sold the ball to the clown. The princess, I think ballerina actually, bit	pirate	ball	clown	high	PO	01HN6C8BVXBN026JSVP2C73R5K	b02b171d-f31c-468a-a10f-0927d11e09e0.mp4
offer	cowboy offered the banana to the monk. Okay, and here we go. There's our last one. The chef laughed	cowboy	banana	monk	high	PO	01HN6C8BVXBN026JSVP2C73R5K	b02b171d-f31c-468a-a10f-0927d11e09e0.mp4
sell	Let's see, the chef sells a cake to the sailor.	chef	cake	sailor	control	PO	01HN6C8E6H53D3JBHFEK6KPNQ3	decec88e-6ed1-4c5e-b06f-ff42ec21beb1.mp4
give	The artist gives the doctor a book.	pirate	apple	monk	control	DO	01HN6C8E6H53D3JBHFEK6KPNQ3	decec88e-6ed1-4c5e-b06f-ff42ec21beb1.mp4
give	The pirate gives an apple to the monk.	pirate	apple	monk	control	PO	01HN6C8E6H53D3JBHFEK6KPNQ3	decec88e-6ed1-4c5e-b06f-ff42ec21beb1.mp4
toss	The cowboy tosses a banana to the clown.	cowboy	banana	clown	high	PO	01HN6C8E6H53D3JBHFEK6KPNQ3	decec88e-6ed1-4c5e-b06f-ff42ec21beb1.mp4
throw	The cowboy throws a gun at the doctor.	cowboy	gun	doctor	high	PO	01HN6C8E6H53D3JBHFEK6KPNQ3	decec88e-6ed1-4c5e-b06f-ff42ec21beb1.mp4
show	The pirate, oh goodness, the pirate shows the, I don't know what the label was for that one,	pirate	book	soldier	low	DO	01HN6C8E6H53D3JBHFEK6KPNQ3	decec88e-6ed1-4c5e-b06f-ff42ec21beb1.mp4
give	Let's see, the pirate gives an apple to the monk. Perfect. Okay, let's see, so this image,	pirate	apple	monk	control	PO	01HN6H3QCQZ61YH3XV2MF52VGT	6af18531-0c03-4bd3-8c75-578d29840aa6.mp4
sell	the palette. Okay, the cowboy throws the gun at the doctor. Perfect. Okay, the chef sells	chef	book	doctor	low	PO	01HN6H3QCQZ61YH3XV2MF52VGT	6af18531-0c03-4bd3-8c75-578d29840aa6.mp4
throw	the palette. Okay, the cowboy throws the gun at the doctor. Perfect. Okay, the chef sells	cowboy	gun	doctor	high	PO	01HN6H3QCQZ61YH3XV2MF52VGT	6af18531-0c03-4bd3-8c75-578d29840aa6.mp4
show	a book to the doctor. Perfect. Okay, the chef cuts the cake. Okay, the pirate shows a book	pirate	book	soldier	low	DO	01HN6H3QCQZ61YH3XV2MF52VGT	6af18531-0c03-4bd3-8c75-578d29840aa6.mp4
offer	to a soldier. Are you still there? Okay. Okay. The artist offers an apple to the sailor.	artist	apple	sailor	control	PO	01HN6H3QCQZ61YH3XV2MF52VGT	6af18531-0c03-4bd3-8c75-578d29840aa6.mp4
toss	Okay, the cowboy tosses a banana at the clown. Okay, the waitress touches the swimmer.	cowboy	banana	clown	high	PO	01HN6H3QCQZ61YH3XV2MF52VGT	6af18531-0c03-4bd3-8c75-578d29840aa6.mp4
offer	A man in a beret offers a book to a doctor. The waitress is offering a banana to the doctor,	artist	book	doctor	low	PO	01HN6H3RTG33PS5KE0V5A3KPJF	{af33ef68-e162-4dfc-8ae3-9ddc7698f1f3}.mp4
throw	The cowboy will throw the book to the boxer.	cowboy	book	boxer	low	PO	01HN6H3SA4W1KPPJTNY6PXFG1A	113ed962-1e4a-4929-a187-89257f90860c.mp4
toss	The cowboy will toss the banana to the soldier.	cowboy	banana	soldier	control	PO	01HN6H3SA4W1KPPJTNY6PXFG1A	113ed962-1e4a-4929-a187-89257f90860c.mp4
give	The pirate will give the apple to the doctor.	pirate	apple	doctor	high	PO	01HN6H3SA4W1KPPJTNY6PXFG1A	113ed962-1e4a-4929-a187-89257f90860c.mp4
offer	The cowboy will offer the banana to the monk.	cowboy	banana	monk	high	PO	01HN6H3SA4W1KPPJTNY6PXFG1A	113ed962-1e4a-4929-a187-89257f90860c.mp4
show	The pirate will show the book to the soldier.	pirate	book	soldier	low	PO	01HN6H3SA4W1KPPJTNY6PXFG1A	113ed962-1e4a-4929-a187-89257f90860c.mp4
sell	The chef will sell the cake to the sailor.	chef	cake	sailor	control	PO	01HN6H3SA4W1KPPJTNY6PXFG1A	113ed962-1e4a-4929-a187-89257f90860c.mp4
offer	Hi. Hello. Yeah. Same. Okay. Okay. I think this is the artist offers the apple to the	artist	apple	sailor	control	DO	01HN6H3SFREDCR8CQGB1J3Z3Y1	2e9bf6e2-5090-4589-b3ec-4d5609f4751a.mp4
give	sailor. Yes. The chef laughs at the burglar. Okay. Yes. The chef gives the ball to the	chef	ball	monk	low	DO	01HN6H3SFREDCR8CQGB1J3Z3Y1	2e9bf6e2-5090-4589-b3ec-4d5609f4751a.mp4
sell	The pirate sells the ball to the clown. I think there's a delay. It's not showing me	pirate	ball	clown	high	PO	01HN6H3SFREDCR8CQGB1J3Z3Y1	2e9bf6e2-5090-4589-b3ec-4d5609f4751a.mp4
show	gun. Okay. The pirate shows the book to the soldier. Right. The chef burns his hat. Okay.	pirate	book	soldier	low	PO	01HN6H3SFREDCR8CQGB1J3Z3Y1	2e9bf6e2-5090-4589-b3ec-4d5609f4751a.mp4
throw	The artist examines the palette. Okay. The chef cuts the cake. Okay. The ballerina throws	ballerina	hat	swimmer	control	DO	01HN6H3SFREDCR8CQGB1J3Z3Y1	2e9bf6e2-5090-4589-b3ec-4d5609f4751a.mp4
toss	to the soldier. Okay. The cowboy tosses the banana to the clown. All right. The chef fights	cowboy	banana	clown	high	PO	01HN6H3SFREDCR8CQGB1J3Z3Y1	2e9bf6e2-5090-4589-b3ec-4d5609f4751a.mp4
show	Okay, the pirate showed the book to the soldier.	pirate	book	soldier	low	PO	01HN6H5QK3ZWR40Y69SBWTVRF5	05762e45-d6e2-41fd-aa67-868276ac2c7a.mp4
offer	The cowboy offered the banana to the monk.	cowboy	banana	monk	high	PO	01HN6H5QK3ZWR40Y69SBWTVRF5	05762e45-d6e2-41fd-aa67-868276ac2c7a.mp4
