verb	sentence	agent	theme	recipient	informativity	order	gameID	audio_file
toss	 The cowboy tosses the banana to the clown, okay	cowboy	banana	clown	high	PO	01HN6C87KF59S14B1W3XFECQKP	bed3acbd-eb9f-4052-9ed3-a0750b6ab966.mp4
show	 The waitress shows the apple to the clown, okay	waitress	apple	clown	control	PO	01HN6C87KF59S14B1W3XFECQKP	bed3acbd-eb9f-4052-9ed3-a0750b6ab966.mp4
offer	 The artist offers the doctor the book, okay	artist	book	doctor	low	DO	01HN6C87KF59S14B1W3XFECQKP	bed3acbd-eb9f-4052-9ed3-a0750b6ab966.mp4
sell	 The chef sells the book to the doctor	chef	book	doctor	low	PO	01HN6C87KF59S14B1W3XFECQKP	bed3acbd-eb9f-4052-9ed3-a0750b6ab966.mp4
throw	 The cowboy throws the gun to the doctor	cowboy	gun	doctor	high	PO	01HN6C87KF59S14B1W3XFECQKP	bed3acbd-eb9f-4052-9ed3-a0750b6ab966.mp4
give	 The pirate gives the apple to the monk	pirate	apple	monk	control	PO	01HN6C87KF59S14B1W3XFECQKP	bed3acbd-eb9f-4052-9ed3-a0750b6ab966.mp4
show	Hello, a guy with a crown washing, a chef selling birthday cake or a cake, artist examining a pallet, girl running toward a soldier, chef throwing a punch at a sailor, artist reaching for a cup, a chef laughing at a burglar, a chef giving a ball to a monk, a chef cutting a cake, a girl touching a swimmer or pointing at a swimmer, a cowboy offering bananas to a monk, a cowboy throwing a book to a boxer, chef burning something like with the fire with his hands up, a girl showing an apple to a clown, a pirate smiling to a monk smiling, a cowboy tossing bananas to a clown, a girl catching the guy falling, the guy with the crown biting like putting his hand on his mouth	waitress	apple	clown	control	PO	01HN6C88Q370AA57RYFG23GYJZ	7617e629-c508-4ba6-9ef4-f5957fea21a3.mp4
give	Hello, a guy with a crown washing, a chef selling birthday cake or a cake, artist examining a pallet, girl running toward a soldier, chef throwing a punch at a sailor, artist reaching for a cup, a chef laughing at a burglar, a chef giving a ball to a monk, a chef cutting a cake, a girl touching a swimmer or pointing at a swimmer, a cowboy offering bananas to a monk, a cowboy throwing a book to a boxer, chef burning something like with the fire with his hands up, a girl showing an apple to a clown, a pirate smiling to a monk smiling, a cowboy tossing bananas to a clown, a girl catching the guy falling, the guy with the crown biting like putting his hand on his mouth	chef	ball	monk	low	PO	01HN6C88Q370AA57RYFG23GYJZ	7617e629-c508-4ba6-9ef4-f5957fea21a3.mp4
offer	Hello, a guy with a crown washing, a chef selling birthday cake or a cake, artist examining a pallet, girl running toward a soldier, chef throwing a punch at a sailor, artist reaching for a cup, a chef laughing at a burglar, a chef giving a ball to a monk, a chef cutting a cake, a girl touching a swimmer or pointing at a swimmer, a cowboy offering bananas to a monk, a cowboy throwing a book to a boxer, chef burning something like with the fire with his hands up, a girl showing an apple to a clown, a pirate smiling to a monk smiling, a cowboy tossing bananas to a clown, a girl catching the guy falling, the guy with the crown biting like putting his hand on his mouth	cowboy	banana	monk	high	PO	01HN6C88Q370AA57RYFG23GYJZ	7617e629-c508-4ba6-9ef4-f5957fea21a3.mp4
sell	Hello, a guy with a crown washing, a chef selling birthday cake or a cake, artist examining a pallet, girl running toward a soldier, chef throwing a punch at a sailor, artist reaching for a cup, a chef laughing at a burglar, a chef giving a ball to a monk, a chef cutting a cake, a girl touching a swimmer or pointing at a swimmer, a cowboy offering bananas to a monk, a cowboy throwing a book to a boxer, chef burning something like with the fire with his hands up, a girl showing an apple to a clown, a pirate smiling to a monk smiling, a cowboy tossing bananas to a clown, a girl catching the guy falling, the guy with the crown biting like putting his hand on his mouth	chef	cake	sailor	control	PO	01HN6C88Q370AA57RYFG23GYJZ	7617e629-c508-4ba6-9ef4-f5957fea21a3.mp4
throw	Hello, a guy with a crown washing, a chef selling birthday cake or a cake, artist examining a pallet, girl running toward a soldier, chef throwing a punch at a sailor, artist reaching for a cup, a chef laughing at a burglar, a chef giving a ball to a monk, a chef cutting a cake, a girl touching a swimmer or pointing at a swimmer, a cowboy offering bananas to a monk, a cowboy throwing a book to a boxer, chef burning something like with the fire with his hands up, a girl showing an apple to a clown, a pirate smiling to a monk smiling, a cowboy tossing bananas to a clown, a girl catching the guy falling, the guy with the crown biting like putting his hand on his mouth	cowboy	book	boxer	low	PO	01HN6C88Q370AA57RYFG23GYJZ	7617e629-c508-4ba6-9ef4-f5957fea21a3.mp4
toss	Hello, a guy with a crown washing, a chef selling birthday cake or a cake, artist examining a pallet, girl running toward a soldier, chef throwing a punch at a sailor, artist reaching for a cup, a chef laughing at a burglar, a chef giving a ball to a monk, a chef cutting a cake, a girl touching a swimmer or pointing at a swimmer, a cowboy offering bananas to a monk, a cowboy throwing a book to a boxer, chef burning something like with the fire with his hands up, a girl showing an apple to a clown, a pirate smiling to a monk smiling, a cowboy tossing bananas to a clown, a girl catching the guy falling, the guy with the crown biting like putting his hand on his mouth	cowboy	banana	clown	high	PO	01HN6C88Q370AA57RYFG23GYJZ	7617e629-c508-4ba6-9ef4-f5957fea21a3.mp4
sell	The chef is selling a cake to the sailor	chef	cake	sailor	control	PO	01HN6C89VCDS9DKQVZMBS35R77	26a316f6-7865-487e-86a9-cc43090d07b8.mp4
offer	 The artist is offering the doctor a book	artist	book	doctor	low	DO	01HN6C89VCDS9DKQVZMBS35R77	26a316f6-7865-487e-86a9-cc43090d07b8.mp4
toss	 The cowboy is tossing the banana to the clown	cowboy	banana	clown	high	PO	01HN6C89VCDS9DKQVZMBS35R77	26a316f6-7865-487e-86a9-cc43090d07b8.mp4
give	 The pirate is giving an apple to the monk	pirate	apple	monk	control	PO	01HN6C89VCDS9DKQVZMBS35R77	26a316f6-7865-487e-86a9-cc43090d07b8.mp4
throw	 The cowboy is throwing the gun to the doctor	cowboy	gun	doctor	high	PO	01HN6C89VCDS9DKQVZMBS35R77	26a316f6-7865-487e-86a9-cc43090d07b8.mp4
show	 The pirate is showing the book to the soldier	pirate	book	soldier	low	PO	01HN6C89VCDS9DKQVZMBS35R77	26a316f6-7865-487e-86a9-cc43090d07b8.mp4
give	 The pirate gave the monk an apple	pirate	apple	monk	control	DO	01HN6C8A9KRAEBTQP8P9G9JWXP	8a403aee-d642-4cc1-8d86-3d9e8dd01594.mp4
offer	 The artist offered the book to the doctor	artist	book	doctor	low	PO	01HN6C8BGFFPXYNEXBJ7SXB5H1	{a8c22c05-bd2a-4913-9b13-9c6aeacbe155}.mp4
sell	 The pirate sold the ball to the clown	pirate	ball	clown	high	PO	01HN6C8BGFFPXYNEXBJ7SXB5H1	{a8c22c05-bd2a-4913-9b13-9c6aeacbe155}.mp4
show	 The waitress showed the apple to the clown	waitress	apple	clown	control	PO	01HN6C8BGFFPXYNEXBJ7SXB5H1	{a8c22c05-bd2a-4913-9b13-9c6aeacbe155}.mp4
give	 The pirate gave the apple to the doctor	pirate	apple	doctor	high	PO	01HN6C8BGFFPXYNEXBJ7SXB5H1	{a8c22c05-bd2a-4913-9b13-9c6aeacbe155}.mp4
throw	 The cowboy threw the book at the boxer	cowboy	book	boxer	low	PO	01HN6C8BGFFPXYNEXBJ7SXB5H1	{a8c22c05-bd2a-4913-9b13-9c6aeacbe155}.mp4
show	 All right, so I'm the director, so I got to do the sentence, right? All right, so the waitress showed the apple to the clown	waitress	apple	clown	control	PO	01HN6C8BVXBN026JSVP2C73R5K	b02b171d-f31c-468a-a10f-0927d11e09e0.mp4
give	 The chef gave the ball to the monk	chef	ball	monk	low	PO	01HN6C8BVXBN026JSVP2C73R5K	b02b171d-f31c-468a-a10f-0927d11e09e0.mp4
throw	 The cowboy threw the book at the boxer	cowboy	book	boxer	low	PO	01HN6C8BVXBN026JSVP2C73R5K	b02b171d-f31c-468a-a10f-0927d11e09e0.mp4
sell	 The, the pirate sold the ball to the clown	pirate	ball	clown	high	PO	01HN6C8BVXBN026JSVP2C73R5K	b02b171d-f31c-468a-a10f-0927d11e09e0.mp4
offer	 Okay, the cowboy offered the banana to the monk	cowboy	banana	monk	high	PO	01HN6C8BVXBN026JSVP2C73R5K	b02b171d-f31c-468a-a10f-0927d11e09e0.mp4
sell	 Let's see, the chef sells a cake to the sailor	chef	cake	sailor	control	PO	01HN6C8E6H53D3JBHFEK6KPNQ3	decec88e-6ed1-4c5e-b06f-ff42ec21beb1.mp4
give	 The pirate gives an apple to the monk	pirate	apple	monk	control	PO	01HN6C8E6H53D3JBHFEK6KPNQ3	decec88e-6ed1-4c5e-b06f-ff42ec21beb1.mp4
toss	 The cowboy tosses a banana to the clown	cowboy	banana	clown	high	PO	01HN6C8E6H53D3JBHFEK6KPNQ3	decec88e-6ed1-4c5e-b06f-ff42ec21beb1.mp4
throw	 The cowboy throws a gun at the doctor	cowboy	gun	doctor	high	PO	01HN6C8E6H53D3JBHFEK6KPNQ3	decec88e-6ed1-4c5e-b06f-ff42ec21beb1.mp4
give	 Let's see, the pirate gives an apple to the monk	pirate	apple	monk	control	PO	01HN6H3QCQZ61YH3XV2MF52VGT	6af18531-0c03-4bd3-8c75-578d29840aa6.mp4
throw	 Okay, the cowboy throws the gun at the doctor	cowboy	gun	doctor	high	PO	01HN6H3QCQZ61YH3XV2MF52VGT	6af18531-0c03-4bd3-8c75-578d29840aa6.mp4
sell	 Okay, the chef sells a book to the doctor	chef	book	doctor	low	PO	01HN6H3QCQZ61YH3XV2MF52VGT	6af18531-0c03-4bd3-8c75-578d29840aa6.mp4
